Start Worksheet - General Information
,,,
General Information,,,
,,,
File Exported,3/4/2025 12:37:56 AM,,
mic Software Version,2.12.7,,
mic File,C:\Users\human\Dropbox\micrun\micrun_files_second_batch_new_modified\30_Silky.micrun,,
File Status,Completed,,
Operator,17863,,
Run ID,b625e54e-591e-4c6a-8caa-4005b4ebad08,,
,,,
mic Name,Sherlock,,
mic Serial,M0007561,,
mic Firmware,2.28,,
,,,
Start Time,7/1/2024 12:51:05 PM,,
End Time,7/1/2024 2:30:10 PM,,
,,,
Log,,,
7/1/2024 12:51:05 PM,"Run started via Bluetooth on ""Sherlock"" S/N M0007561 F/W v2.28 S/W v2.12.7",17863,Information
7/1/2024 1:04:20 PM,"Autogain completed for Green using Sample: 31, Detector gain: 38x, LED power: 750, Scale: 1.50",17863,Information
7/1/2024 2:22:51 PM,"Autogain completed for Green using Sample: 31, Detector gain: 38x, LED power: 750, Scale: 1.50",17863,Information
7/1/2024 2:30:10 PM,Run complete,17863,Information
7/1/2024 2:47:55 PM,"Cycling ""DNAID-Elasmo"" added",17863,Information
7/1/2024 2:47:55 PM,"MeltAnalysis ""DNAID-Elasmo"" added
	Threshold Starting At  changed from ""70.00"" to ""63.48"" 
	Threshold  changed from ""0.100"" to ""0.021"" 
	 Samples de-selected: 1,16,24,25,26,28,31",17863,Information
7/1/2024 2:47:55 PM,"HighResolutionMelt ""DNAID-Elasmo"" added
	Normalisation Start Low Temperature  changed from ""0.00"" to ""68.14"" 
	Normalisation Start High Temperature  changed from ""0.00"" to ""70.14"" 
	Normalisation End Low Temperature  changed from ""0.00"" to ""84.00"" 
	Normalisation End High Temperature  changed from ""0.00"" to ""86.00"" 
	 Sample ""PC"" Well ""31: DNAID_PC"" added to Genotypes 
	 Sample ""1"" Well ""7: Silky_7"" added to Genotypes 
	 Samples selected: 2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,27,30,31",17863,Information
7/1/2024 2:49:58 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	 Samples de-selected: 27,29",17863,Information
7/1/2024 2:51:57 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples de-selected: 3,4,8,9,10,11,12,13,15,17,20,22,27,30",17863,Information
7/1/2024 3:36:41 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	 Samples de-selected: 3,10,22",17863,Information
7/1/2024 4:01:23 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples selected: 4",17863,Information
7/1/2024 4:20:57 PM,"Cycling ""DNAID-Elasmo"" removed",17863,Information
7/3/2024 11:59:50 AM,"HighResolutionMelt ""DNAID-Elasmo"" 
	Normalisation Start Low Temperature  changed from ""68.14"" to ""64.00"" 
	Normalisation Start High Temperature  changed from ""70.14"" to ""66.00"" 
	Normalisation End Low Temperature  changed from ""84.00"" to ""86.00"" 
	Normalisation End High Temperature  changed from ""86.00"" to ""88.00"" 
	 Samples selected: 8,9,10,11,12,13,15,16,17,20,22,27,29,30",17863,Information
7/3/2024 4:18:36 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples de-selected: 10,16,20,22,27,29",17863,Information
7/8/2024 2:19:09 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	Threshold  changed from ""0.021"" to ""-0.002"" 
	 Samples de-selected: 32",17863,Information
7/18/2024 2:47:55 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	Threshold  changed from ""-0.002"" to ""0.050"" 
	 Samples selected: 1,3,10,16,22,24,25,25,26,26,27,28,29,31,32",17863,Information
7/18/2024 2:47:55 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples de-selected: 2,4,5,6,7,8,9,11,12,13,14,15,17,18,19,21,23,30",17863,Information
7/19/2024 2:47:30 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	Threshold  changed from ""0.050"" to ""-0.001"" 
	 Samples selected: 29 Samples de-selected: 25,26",17863,Information
7/19/2024 2:47:30 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples selected: 29",17863,Information
7/23/2024 8:23:13 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples de-selected: 29",17863,Information
7/23/2024 9:55:19 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	Threshold  changed from ""-0.001"" to ""-0.002"" 
	 All samples deselected.",17863,Information
7/23/2024 9:55:19 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples selected: 27",17863,Information
2/17/2025 8:22:03 PM,"MeltAnalysis ""DNAID-Elasmo"" 
	 Samples selected: 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30",17863,Information
2/17/2025 8:22:03 PM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples selected: 29 Samples de-selected: 27",17863,Information
3/4/2025 12:37:53 AM,"MeltAnalysis ""DNAID-Elasmo"" 
	 Samples de-selected: 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27,28,29,30,31,32",human,Information
3/4/2025 12:37:53 AM,"HighResolutionMelt ""DNAID-Elasmo"" 
	 Samples de-selected: 27,29,31,32",human,Information
,,,
End Worksheet


Start Worksheet - Profile
,
Temperature Control,Standard TAQ
Reaction Volume,20µl
,
Logical Profile,Hold at 95°C for 10:00
,Cycle 35 times acquiring on Green
,   Hold at 95°C for 00:15
,   Hold at 56°C for 00:30
,   Hold at 72°C for 00:30
,   Acquire Data
,Hold at 72°C for 05:00
,Hold at 95°C for 00:15
,Hold at 60°C for 01:00
,Melt from 60°C to 95°C at 0.1°C/s acquiring on Green
,
End Worksheet


Start Worksheet - Samples
,,,,,
Well,Name,Type,Groups,Assay,Standards Concentration (Copies/µL)
1,Silky_1,Unknown,,DNAID,
2,Silky_2,Unknown,,DNAID,
3,Silky_3,Unknown,,DNAID,
4,Silky_4,Unknown,,DNAID,
5,Silky_5,Unknown,,DNAID,
6,Silky_6,Unknown,,DNAID,
7,Silky_7,Unknown,,DNAID,
8,Silky_8,Unknown,,DNAID,
9,Silky_9,Unknown,,DNAID,
10,Silky_10,Unknown,,DNAID,
11,Silky_11,Unknown,,DNAID,
12,Silky_12,Unknown,,DNAID,
13,Silky_13,Unknown,,DNAID,
14,Silky_14,Unknown,,DNAID,
15,Silky_15,Unknown,,DNAID,
16,Silky_16,Unknown,,DNAID,
17,Silky_17,Unknown,,DNAID,
18,Silky_18,Unknown,,DNAID,
19,Silky_19,Unknown,,DNAID,
20,Silky_20,Unknown,,DNAID,
21,Silky_21,Unknown,,DNAID,
22,Silky_22,Unknown,,DNAID,
23,Silky_23,Unknown,,DNAID,
24,Silky_24,Unknown,,DNAID,
25,Silky_25,Unknown,,DNAID,
26,Silky_26,Unknown,,DNAID,
27,Silky_27,Unknown,,DNAID,
28,Silky_28,Unknown,,DNAID,
29,Silky_29,Unknown,,DNAID,
30,Silky_30,Unknown,,DNAID,
31,DNAID_PC,Unknown,,DNAID,
32,Negative Control,Unknown,,DNAID,
33,,Unknown,,,
34,,Unknown,,,
35,,Unknown,,,
36,,Unknown,,,
37,,Unknown,,,
38,,Unknown,,,
39,,Unknown,,,
40,,Unknown,,,
41,,Unknown,,,
42,,Unknown,,,
43,,Unknown,,,
44,,Unknown,,,
45,,Unknown,,,
46,,Unknown,,,
47,,Unknown,,,
48,,Unknown,,,
,,,,,
End Worksheet


Start Worksheet - Assays
,,,,,
Assay,Type,Target,Probe,Reporter,Channel
DNAID,IntercalatingDye,DNAID-Elasmo,-,SYTO® 9,Green
,,,,,
End Worksheet


Start Worksheet - Data - Cycling Green
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1,1.593042,1.712062,1.808194,1.705196,1.757839,1.682307,1.684596,1.707485,1.801328,1.730373,1.75555,1.654841,1.787594,1.69604,1.766995,1.682307,1.702907,1.675441,1.734951,1.682307,1.792172,1.851682,1.709773,1.693751,1.748684,1.785306,1.718929,1.680018,1.718929,1.638819,2.650492,1.647974,0.860609,0.869764,0.874342,0.899519,0.817121,0.874342,0.823987,0.805676,0.805676,0.821698,0.830854,0.89723,0.791943,0.805676,0.819409,0.908675
