method,accuracy,f1_macro,correct,total
avg_cnn_stats_tcn,1.0,1.0,131,131
avg_top4,1.0,1.0,131,131
simple_average_all,1.0,1.0,131,131
rank_average,1.0,1.0,131,131
calibrated_avg,1.0,1.0,131,131
borda_count,1.0,1.0,131,131
majority_vote_all,1.0,1.0,131,131
grid_optimized_weights,1.0,1.0,131,131
confidence_weighted_top3,1.0,1.0,131,131
weighted_by_train_acc_sq,1.0,1.0,131,131
weighted_by_train_acc,1.0,1.0,131,131
stack_logreg_C1,1.0,1.0,131,131
scipy_optimized,1.0,1.0,131,131
stack_ridge,1.0,1.0,131,131
disagreement_aware,1.0,1.0,131,131
stack_mlp_100,1.0,1.0,131,131
stack_logreg_top3,1.0,1.0,131,131
stack_logreg_C10,1.0,1.0,131,131
individual_cnn,0.9923664122137404,0.9948963317384371,130,131
blended_lr_rf,0.9923664122137404,0.9928025191183086,130,131
stack_mlp_50,0.9923664122137404,0.9964557859294702,130,131
max_confidence,0.9923664122137404,0.9953216374269006,130,131
geometric_mean,0.9923664122137404,0.9953216374269006,130,131
individual_tcn,0.9923664122137404,0.9948963317384371,130,131
avg_cnn_resnet1d,0.9923664122137404,0.9948963317384371,130,131
stack_gradboost,0.9923664122137404,0.9928025191183086,130,131
confidence_weighted_all,0.9923664122137404,0.9953216374269006,130,131
class_routing,0.9770992366412213,0.9526111315584999,128,131
individual_statistics,0.9694656488549618,0.958717306085727,127,131
stack_logreg_C0.1,0.9694656488549618,0.9508563074352547,127,131
individual_resnet1d,0.9541984732824428,0.9429278324015166,125,131
individual_rulebased,0.9083969465648855,0.8710317460317459,119,131
individual_extratrees,0.8931297709923665,0.8436673634816048,117,131
stack_rf,0.8778625954198473,0.7434831422447521,115,131
stack_logreg_C0.01,0.33587786259541985,0.10552326487709501,44,131
