species,correct,incorrect,total,accuracy
Nurse shark,14,6,20,0.7
Bonnethead shark,27,8,35,0.7714285714285715
Blacknose shark,28,7,35,0.8
Brownbanded bamboo shark,32,8,40,0.8
Silvertip shark,56,14,70,0.8
Java shark,41,9,50,0.82
Spinner shark,41,9,50,0.82
Pacific guitarfish,29,6,35,0.8285714285714286
Sandbar shark,29,6,35,0.8285714285714286
Roughskin dogfish,21,4,25,0.84
Small tail shark,21,4,25,0.84
Porbeagle shark,55,10,65,0.8461538461538461
Halavi guitarfish,34,6,40,0.85
Scalloped hammerhead shark,51,9,60,0.85
Scalloped bonnethead shark,64,11,75,0.8533333333333334
Gulper shark,30,5,35,0.8571428571428571
Pelagic thresher shark,30,5,35,0.8571428571428571
Great white shark,35,5,40,0.875
Thornback ray,35,5,40,0.875
Dusky shark,44,6,50,0.88
Blacktip reef shark,31,4,35,0.8857142857142857
Bowmouth guitarfish,31,4,35,0.8857142857142857
Gummy shark,27,3,30,0.9
Milk shark,63,7,70,0.9
Pacific smalltail shark,18,2,20,0.9
Common thresher shark,41,4,45,0.9111111111111111
Grey reef shark,82,8,90,0.9111111111111111
Night shark,55,5,60,0.9166666666666666
Caribbean reef shark,46,4,50,0.92
Tiger shark,46,4,50,0.92
Lemon shark,51,4,55,0.9272727272727272
Blacktip shark,141,9,150,0.94
Japanese topeshark,33,2,35,0.9428571428571428
Blackchin guitarfish,38,2,40,0.95
Pacific bonnethead shark,43,2,45,0.9555555555555556
Atlantic Sharpnose shark,24,1,25,0.96
Oceanic whitetip shark,48,2,50,0.96
Sandtiger shark,144,6,150,0.96
Copper shark,77,3,80,0.9625
Longtail stingray,58,2,60,0.9666666666666667
Smooth hammerhead shark,29,1,30,0.9666666666666667
Finetooth shark,34,1,35,0.9714285714285714
Hooktooth shark,34,1,35,0.9714285714285714
Shortfin mako,34,1,35,0.9714285714285714
Spadenose stingray,34,1,35,0.9714285714285714
Silky shark,141,4,145,0.9724137931034482
Whitecheeck shark,39,1,40,0.975
Zebra shark,39,1,40,0.975
Bull shark,147,3,150,0.98
Blue shark,167,3,170,0.9823529411764705
Great hammerhead shark,203,2,205,0.9902439024390244
Spotted Eagleray,120,0,120,1.0
Tope shark,50,0,50,1.0
