Feature,Importance
peak_max_x,0.13749678810126698
y_middle_std,0.052797145505339135
max_slope,0.0506580511817386
n_peaks,0.04962495468558407
y_middle_max,0.044975668910632205
max,0.044791143794501394
range,0.04405663445629292
fft_entropy,0.03709759907197739
fft_power_2,0.03640633315131683
fft_power_3,0.03509237647395659
fft_power_4,0.03451629269387668
mean_abs_curvature,0.03442896223302986
fft_power_1,0.03442470479746713
fft_power_0,0.033279145887413604
y_middle_mean,0.03117125428991735
y_right_max,0.027698681822892878
max_curvature,0.02541385016932286
slope_std,0.02492213290175531
std,0.023187650372062038
fft_total_power,0.02299221129503909
mean_abs_slope,0.02199211650906774
mean_prominence,0.02003661625545577
y_right_std,0.019227332994542014
y_left_max,0.01747856404127824
y_right_mean,0.016643871453730686
kurtosis,0.014769518160822795
skewness,0.011403120004469155
iqr,0.009366187275460494
y_left_std,0.009041124023929141
q75,0.008783631668746935
mean,0.007497962345050554
max_prominence,0.0060466915672008825
y_left_mean,0.0051677361758562905
q50,0.004225134656467971
q25,0.0032888110725385433
min,0.0
