k,Test Accuracy,Macro Precision,Macro Recall,Macro F1
1,0.3435114503816794,0.17092089197352353,0.24206349206349206,0.1946692683534789
2,0.6946564885496184,0.5725628172996594,0.5994152046783626,0.5695370905897222
3,0.8778625954198473,0.8555137844611529,0.8483709273182958,0.8378874536769274
4,0.8931297709923665,0.8454469507101086,0.8688387635756057,0.8398496240601503
5,0.8931297709923665,0.8311194653299916,0.8571428571428572,0.8271094402673351
6,0.916030534351145,0.8787385129490393,0.8834586466165414,0.8645106355632672
7,0.9083969465648855,0.8629908103592314,0.8746867167919801,0.8538847117794486
8,0.9312977099236641,0.9030005569479252,0.9035087719298246,0.8895566593709008
9,0.9312977099236641,0.9024436090225564,0.9035087719298246,0.8892391234496497
10,0.9312977099236641,0.8907477025898078,0.891812865497076,0.8798823983034509
11,0.9618320610687023,0.965016708437761,0.9502923976608187,0.9515198252040357
12,0.9541984732824428,0.9295112781954888,0.932748538011696,0.9279737806053595
13,0.9389312977099237,0.9270050125313284,0.9210526315789473,0.9120043698991068
14,0.9389312977099237,0.9270050125313284,0.9210526315789473,0.9120043698991068
15,0.9465648854961832,0.9489348370927319,0.9385964912280702,0.9320544952123899
16,0.9541984732824428,0.9562447786131997,0.9444444444444443,0.9421631000578369
17,0.9541984732824428,0.9689849624060151,0.956140350877193,0.9509478825268299
18,0.9694656488549618,0.9777568922305765,0.9736842105263158,0.9676563202878992
19,0.9465648854961832,0.9299289891395154,0.9385964912280702,0.9252040357303516
20,0.9389312977099237,0.9036131996658312,0.9210526315789473,0.9018122228648544
21,0.9465648854961832,0.9299289891395154,0.9385964912280702,0.9252040357303516
22,0.9465648854961832,0.9255430242272348,0.9298245614035088,0.9160143949617634
23,0.9465648854961832,0.9255430242272348,0.9298245614035088,0.9160143949617634
24,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
25,0.9465648854961832,0.9255430242272348,0.9298245614035088,0.9160143949617634
26,0.9465648854961832,0.9255430242272348,0.9298245614035088,0.9160143949617634
27,0.9465648854961832,0.9255430242272348,0.9298245614035088,0.9160143949617634
28,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
29,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
30,0.9618320610687023,0.9719089390142022,0.9649122807017544,0.9582995951417004
31,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
32,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
33,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
34,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
35,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
36,0.9541984732824428,0.945593149540518,0.9473684210526315,0.9349077822762033
