Species,ymax,tmax,auc,centroid,fwhm,decay,auc_left,auc_right,asym,mean,max,min_z,rise_log,std_log
Arabian smooth-hound,0.084219618,79.32,0.146046271,78.67852495,1.31,0.830988668,0.090749769,0.055296502,-0.24275366,0.012446577,0.098245496,1.143232761,1.448445321,0.016662311
Arabian smooth-hound,0.05361992,79.34,0.090283762,78.70576013,1.28,0.776434694,0.056610741,0.033673021,-0.254062518,0.009303804,0.065373782,0.857054418,1.442318954,0.011330483
Arabian smooth-hound,0.079502977,79.35,0.139453795,78.65963677,1.31,0.818973711,0.08763581,0.051817985,-0.25684368,0.012918141,0.094645143,1.13093375,1.457255199,0.016293655
Arabian smooth-hound,0.077085757,79.31,0.138004051,78.69546205,1.32,0.885609614,0.085756921,0.052247129,-0.242817456,0.012220524,0.090415179,-0.542038156,1.46040173,0.015412827
Arabian smooth-hound,0.027993151,79.4,0.043731082,78.66183919,1.2,0.699100338,0.027334099,0.016396984,-0.250099346,0.006307421,0.036978401,-0.250929065,1.44407299,0.006659635
Arabian smooth-hound,0.04626586,79.31,0.085868661,78.34631005,1.28,0.772638018,0.056724793,0.029143868,-0.321198973,0.00861654,0.056659008,-0.892497286,1.514472445,0.010027559
Atlantic Sharpnose shark,0.037696319,77.05,0.132699392,77.29992802,4.24,2.653744925,0.060381423,0.07231797,0.089951785,0.012054579,0.05154653,-0.727985828,1.134081638,0.012952144
Atlantic Sharpnose shark,0.033356856,77.05,0.109342035,77.37778597,4.15,2.658298124,0.048826284,0.060515751,0.106907354,0.010666989,0.04646637,0.834907841,1.071214128,0.011457404
Atlantic Sharpnose shark,0.033867728,77.15,0.102259898,77.543948,3.58,2.595133229,0.041489761,0.060770138,0.188542891,0.01027793,0.046381068,-0.637449508,1.06331696,0.010904176
Atlantic Sharpnose shark,0.040006985,77.23,0.150901911,77.41342279,4.25,2.60623408,0.066449668,0.084452243,0.119299847,0.013172431,0.054222511,0.4336648,1.165322237,0.013880515
Atlantic Sharpnose shark,0.035450823,77,0.119887116,77.27778335,4.15,2.651950639,0.053185218,0.066701899,0.112745069,0.01135445,0.048953556,-1.853791038,1.099591914,0.012131251
Blackchin guitarfish,0.042921385,77.08,0.075089911,77.41572445,1.33,2.298194437,0.030932444,0.044157467,0.176122508,0.009633623,0.055134578,0.163448707,0.70424083,0.009911768
Blackchin guitarfish,0.056834677,77.06,0.112662249,77.69242026,1.33,2.736762049,0.041337157,0.071325092,0.26617554,0.012031877,0.070711262,-0.681324802,0.715659039,0.012658127
Blackchin guitarfish,0.060697557,77.08,0.122038901,77.70085796,1.35,2.738877003,0.044868483,0.077170418,0.264685564,0.012734547,0.075067795,-0.856227043,0.726076121,0.01343675
Blackchin guitarfish,0.054272199,77.06,0.104303782,77.58384369,1.32,2.603598951,0.039468951,0.064834831,0.243192334,0.011500829,0.067760654,1.067370289,0.713453244,0.012073376
Blackchin guitarfish,0.053564231,77.05,0.103172034,77.59486313,1.32,2.602214921,0.039238364,0.06393367,0.239360456,0.0112643,0.066802549,0.875489006,0.712262434,0.011902714
Blackchin guitarfish,0.053397894,77.11,0.102525106,77.56592376,1.34,2.566825093,0.040321411,0.062203696,0.213433427,0.011394059,0.066682161,1.060002026,0.730004896,0.011914455
Blackchin guitarfish,0.0542143,77.07,0.105506876,77.62564791,1.32,2.615698886,0.039945554,0.065561322,0.242787663,0.011254406,0.067142876,-0.049659862,0.718969635,0.011938437
Blackchin guitarfish,0.056373904,77.06,0.106801276,77.55240928,1.32,2.566507765,0.041067758,0.065733518,0.230950052,0.012029026,0.070671172,-1.919374155,0.711282034,0.012605069
Blacknose shark,0.050032726,77.65,0.125046752,77.86155503,2.48,1.380563894,0.050536967,0.074509785,0.191710847,0.011261575,0.063097292,1.015304941,0.913485633,0.013946246
Blacknose shark,0.048172326,77.6,0.118111508,77.82966988,2.46,1.401786793,0.047070497,0.071041011,0.202948168,0.010747368,0.061086244,-0.820611448,0.888071041,0.013537085
Blacknose shark,0.036417491,78.62,0.113836933,77.63272365,2.98,0.706157482,0.08818553,0.025651403,-0.549330736,0.010737353,0.049211699,-0.820611448,1.158155939,0.012227985
Blacknose shark,0.044376322,77.55,0.108841986,77.68890658,2.44,1.409500762,0.044509164,0.064332822,0.182132446,0.009774792,0.056255988,0.930841519,0.900685878,0.012477275
Blacknose shark,0.048248802,77.49,0.121457272,77.66501662,2.48,1.438046135,0.049391752,0.07206552,0.186681028,0.010487548,0.060281084,0.015804862,0.92315805,0.013363675
Blacknose shark,0.058292228,77.46,0.14465312,77.70778751,2.46,0.751180814,0.052083134,0.092569985,0.279889233,0.01208269,0.072651016,-2.148869797,0.775595052,0.016472239
Blacknose shark,0.043642187,77.35,0.108659659,77.43790087,2.47,1.449727296,0.044302343,0.064357317,0.18456688,0.010359941,0.056619097,0.831627641,0.903733077,0.012687503
Blackspotted smooth-hound,0.022138563,78.95,0.039300562,77.97615381,1.44,0.849099989,0.023762959,0.015537603,-0.209293577,0.005774769,0.030072106,-1.361698282,2.053785117,0.005864944
Blackspotted smooth-hound,0.04356963,79.21,0.088491789,77.19468392,1.37,0.818884832,0.059353811,0.029137978,-0.341453514,0.009181562,0.054689465,-1.197757899,2.17411202,0.010126612
Blackspotted smooth-hound,0.046502401,79.16,0.110430965,76.66554709,1.37,0.824448495,0.078947902,0.031483063,-0.429814576,0.010261921,0.058102082,1.063282226,2.153820675,0.010968174
Blackspotted smooth-hound,0.026908391,79.07,0.056190461,77.75392889,1.55,0.82183628,0.03744996,0.018740501,-0.332965029,0.007557379,0.03684418,1.036622762,2.112451882,0.007483248
Blackspotted smooth-hound,0.052208608,79.18,0.110418732,77.19869067,1.4,0.841995125,0.074272691,0.036146041,-0.345291506,0.010440991,0.064136695,-0.131838984,2.151377397,0.011794535
Blackspotted smooth-hound,0.056009206,79.19,0.129825789,76.7824263,1.41,0.853740395,0.09129167,0.038534119,-0.406371888,0.011418205,0.068561811,-1.132307104,2.178026335,0.012653931
Blacktip reef shark,0.041177989,77.78,0.121021177,77.63333168,2.91,1.74114326,0.060884279,0.060136897,-0.006175631,0.010399057,0.052969352,0.123752013,1.262547396,0.012188566
Blacktip reef shark,0.036424675,77.68,0.103326822,77.52302894,2.87,1.864385794,0.050739016,0.052587806,0.017892651,0.00971815,0.048221453,0.399539572,1.295227785,0.010975758
Blacktip reef shark,0.033801234,77.72,0.093247899,77.39643207,2.7,1.833927903,0.048320401,0.044927498,-0.036385831,0.009371861,0.045593509,-1.648809845,1.401535216,0.010273661
Blacktip reef shark,0.03914822,77.63,0.123347944,77.53905481,3,1.874632421,0.058434381,0.064913563,0.052527686,0.010289712,0.050369782,-2.001330417,1.432368977,0.011841412
